iShares Core S&P 500 ETF
Fund Holdings as of,"Mar 01, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"746,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","557,586,958.28","0.19","557,586,958.28","3,592,468.00","155.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","557,210,314.00","0.19","557,210,314.00","824,300.00","675.98","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","555,881,667.27","0.19","555,881,667.27","1,842,437.00","301.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","555,260,318.98","0.19","555,260,318.98","9,683,647.00","57.34","United States","NASDAQ","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","551,892,334.10","0.19","551,892,334.10","11,817,823.00","46.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","547,450,157.00","0.19","547,450,157.00","12,731,399.00","43.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","542,615,187.86","0.18","542,615,187.86","4,923,466.00","110.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","539,734,056.35","0.18","539,734,056.35","7,439,477.00","72.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","539,302,750.67","0.18","539,302,750.67","4,174,493.00","129.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","506,411,766.64","0.17","506,411,766.64","2,060,008.00","245.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","501,990,919.70","0.17","501,990,919.70","4,975,133.00","100.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","497,429,283.52","0.17","497,429,283.52","3,857,237.00","128.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","495,186,134.19","0.17","495,186,134.19","3,327,193.00","148.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","491,733,789.36","0.17","491,733,789.36","1,362,068.00","361.02","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","489,982,549.76","0.17","489,982,549.76","12,654,508.00","38.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","480,336,634.80","0.16","480,336,634.80","6,343,590.00","75.72","United States","NASDAQ","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","479,283,378.87","0.16","479,283,378.87","3,440,903.00","139.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","478,443,015.87","0.16","478,443,015.87","478,443,016.00","100.00","United States","-","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","477,569,880.18","0.16","477,569,880.18","1,262,277.00","378.34","United States","NASDAQ","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","467,738,913.42","0.16","467,738,913.42","2,443,394.00","191.43","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","464,840,727.41","0.16","464,840,727.41","2,062,201.00","225.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","461,393,774.80","0.16","461,393,774.80","1,888,636.00","244.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","460,030,505.00","0.16","460,030,505.00","2,100,500.00","219.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","459,447,427.26","0.16","459,447,427.26","557,433.00","824.22","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","456,570,135.63","0.15","456,570,135.63","2,005,227.00","227.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","451,471,070.12","0.15","451,471,070.12","4,209,913.00","107.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","444,243,014.25","0.15","444,243,014.25","1,262,951.00","351.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","439,738,980.55","0.15","439,738,980.55","5,507,063.00","79.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","437,469,378.48","0.15","437,469,378.48","5,266,908.00","83.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","437,464,903.44","0.15","437,464,903.44","437,464,903.00","1.00","United States","-","USD","1.00","USD","-"
