iShares Core S&P 500 ETF
Fund Holdings as of,"May 23, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"742,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WM","WASTE MANAGEMENT INC","Industrials","Equity","536,293,685.76","0.17","536,293,685.76","3,294,592.00","162.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","534,830,042.31","0.17","534,830,042.31","4,957,179.00","107.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","534,832,737.00","0.17","534,832,737.00","1,969,918.00","271.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","531,455,321.46","0.17","531,455,321.46","1,351,994.00","393.09","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","509,379,070.53","0.17","509,379,070.53","1,228,337.00","414.69","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","504,435,348.85","0.16","504,435,348.85","553,115.00","911.99","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","503,606,756.64","0.16","503,606,756.64","1,880,814.00","267.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","501,490,838.87","0.16","501,490,838.87","244,987.00","2,047.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","500,667,989.12","0.16","500,667,989.12","2,433,262.00","205.76","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","499,889,215.08","0.16","499,889,215.08","6,317,316.00","79.13","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","491,728,572.80","0.16","491,728,572.80","4,883,104.00","100.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","477,537,722.64","0.15","477,537,722.64","1,214,676.00","393.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","474,941,146.55","0.15","474,941,146.55","2,091,791.00","227.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","466,812,674.40","0.15","466,812,674.40","2,059,710.00","226.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","464,724,837.24","0.15","464,724,837.24","5,484,126.00","84.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","451,063,415.52","0.15","451,063,415.52","2,107,576.00","214.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","447,007,159.83","0.14","447,007,159.83","5,229,989.00","85.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","442,664,437.92","0.14","442,664,437.92","4,027,151.00","109.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","439,690,865.52","0.14","439,690,865.52","12,678,514.00","34.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","437,139,664.50","0.14","437,139,664.50","1,397,550.00","312.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","433,859,253.12","0.14","433,859,253.12","3,840,822.00","112.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","432,388,926.00","0.14","432,388,926.00","2,020,509.00","214.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","432,137,257.22","0.14","432,137,257.22","3,556,978.00","121.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","423,331,223.05","0.14","423,331,223.05","1,483,135.00","285.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","423,318,685.00","0.14","423,318,685.00","940,750.00","449.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","414,845,738.91","0.13","414,845,738.91","2,993,763.00","138.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
